phonetic,head_in_shuowen,head_gloss,head_dx_fanqie,char,sw_id,relation,shuowen_gloss,daxu_fanqie,mc_bs2014,guangyun_position,mc_confidence,head_mc_bs2014,oc_bs2014,oc_bs_match,head_oc_bs2014,head_oc_bs_match,morph_relation_auto,morph_diff,src
䙴,False,,,蹮,1410,聲,蹁蹮，旋行。从足䙴聲。,穌前切,sen,心開四先平,initial+rhyme+tone,,*sˤe[r],mc_match,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丂,True,气欲舒出。纸上礙於一也。丂，古文以爲亏字，又以爲巧字。凡丂之屬皆从丂。,苦浩切,可,3041,亦聲,𦘫也。从口丂，丂亦聲。凡可之屬皆从可。,肯我切,khaX,溪開一歌上,initial+rhyme+tone,khawX,*[k]ʰˤa[j]ʔ,mc_match,*C.qʰˤuʔ,mc_match,C,"pre,ini,v,coda;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丂,True,气欲舒出。纸上礙於一也。丂，古文以爲亏字，又以爲巧字。凡丂之屬皆从丂。,苦浩切,攷,2042,聲,敂也。从攴丂聲。,苦浩切,khawX,溪開一豪上,identical_fanqie,khawX,,not_in_bs,*C.qʰˤuʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丂,True,气欲舒出。纸上礙於一也。丂，古文以爲亏字，又以爲巧字。凡丂之屬皆从丂。,苦浩切,㱙,2538,聲,腐也。从歺丂聲。,許久切,xjuwX,曉三C尤上,identical_fanqie,khawX,,not_in_bs,*C.qʰˤuʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丂,True,气欲舒出。纸上礙於一也。丂，古文以爲亏字，又以爲巧字。凡丂之屬皆从丂。,苦浩切,巧,3016,聲,技也。从工丂聲。,苦絞切,khaewX,溪開二肴上,identical_fanqie,khawX,*[kʰ]ˤruʔ,mc_match,*C.qʰˤuʔ,mc_match,O,"pre,ini,med;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丂,True,气欲舒出。纸上礙於一也。丂，古文以爲亏字，又以爲巧字。凡丂之屬皆从丂。,苦浩切,考,5359,聲,老也。从老省，丂聲。,苦浩切,khawX,溪開一豪上,identical_fanqie,khawX,*k-r̥ˤuʔ,mc_match,*C.qʰˤuʔ,mc_match,O2,"pre,ini",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丌,True,下基也。薦物之丌。象形。凡丌之屬皆从丌。讀若箕同。,居之切,䢋,3006,亦聲,古之遒人，以木鐸記詩言。从辵从丌，丌亦聲。讀與記同。,居吏切,,,none,,,not_in_bs,*[g]ə,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
不,True,鳥飛上翔不下來也。从一，一猶天也。象形。凡不之屬皆从不。,方久切,否,7667,亦聲,不也。从口从不，不亦聲。,方久切,pjuwX,幫三C尤上,identical_fanqie,pjuwX,*pəʔ,mc_match,,multiple_readings,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
不,True,鳥飛上翔不下來也。从一，一猶天也。象形。凡不之屬皆从不。,方久切,丕,4,聲,大也。从一不聲。,敷悲切,phij,滂三B脂平,identical_fanqie,pjuwX,*pʰrə,mc_match,,multiple_readings,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
不,True,鳥飛上翔不下來也。从一，一猶天也。象形。凡不之屬皆从不。,方久切,芣,498,聲,華盛。从艸不聲。一曰芣苢。,縛牟切,bjuw,並三C尤平,initial+rhyme+tone,pjuwX,,not_in_bs,,multiple_readings,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
