phonetic,head_in_shuowen,head_gloss,head_dx_fanqie,char,sw_id,relation,shuowen_gloss,daxu_fanqie,mc_bs2014,guangyun_position,mc_confidence,head_mc_bs2014,oc_bs2014,oc_bs_match,head_oc_bs2014,head_oc_bs_match,morph_relation_auto,morph_diff,src
及,True,逮也。从又从人。,巨立切,吸,826,聲,内息也。从口及聲。,許及切,xip,曉開三B侵入,identical_fanqie,gip,*qʰ(r)əp,mc_match,*[m-k-]rəp,mc_match,O2,"pre,ini,med;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,彶,1233,聲,急行也。从彳及聲。,居立切,kip,見開三B侵入,identical_fanqie,gip,,not_in_bs,*[m-k-]rəp,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,趿,1376,聲,進足有所擷取也。从足及聲。《爾雅》曰：“趿謂之擷。”,稣合切,sop,心開一覃入,rhyme+tone_only,gip,,not_in_bs,*[m-k-]rəp,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,靸,1795,聲,小兒履也。从革及聲。讀若沓。,穌合切,sop,心開一覃入,initial+rhyme+tone,gip,,not_in_bs,*[m-k-]rəp,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,极,3758,聲,驢上負也。从木及聲。或讀若急。,其輒切,gjep,羣開三B鹽入,identical_fanqie,gip,,not_in_bs,*[m-k-]rəp,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,㽺,4759,聲,病劣也。从疒及聲。,呼合切,xop,曉開一覃入,identical_fanqie,gip,,not_in_bs,*[m-k-]rəp,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,㠷,4884,聲,蒲席𤲑也。从巾及聲。讀若蛤。,古沓切,kop,見開一覃入,identical_fanqie,gip,,not_in_bs,*[m-k-]rəp,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,伋,4941,聲,人名。从人及聲。,居立切,kip,見開三B侵入,identical_fanqie,gip,,not_in_bs,*[m-k-]rəp,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,岌,5874,聲,山高皃。从山及聲。,魚汲切,ngip,疑開三B侵入,initial+rhyme+tone,gip,,not_in_bs,*[m-k-]rəp,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,急,6775,聲,褊也。从心及聲。,居立切,kip,見開三B侵入,identical_fanqie,gip,*[k](r)əp,mc_match,*[m-k-]rəp,mc_match,O2,"pre,ini,med;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,扱,8007,聲,收也。从手及聲。,楚洽切,tsrheap,初開二咸入,identical_fanqie,gip,*s-qʰr[ə]p,mc_match,*[m-k-]rəp,mc_match,O2,"pre,ini,med;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,級,8523,聲,絲次弟也。从糸及聲。,居立切,kip,見開三B侵入,identical_fanqie,gip,*k(r)əp,mc_match,*[m-k-]rəp,mc_match,O2,"pre,ini,med;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
及,True,逮也。从又从人。,巨立切,鈒,9353,聲,鋋也。从金及聲。,穌合切,sop,心開一覃入,initial+rhyme+tone,gip,,not_in_bs,*[m-k-]rəp,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,返,1140,亦聲,還也。从辵从反，反亦聲。《商書》曰：“祖甲返。”,扶版切,pjonX,幫三C元上,initial_only,pjonX,*Cə.panʔ,mc_match,*Cə.panʔ,mc_match,I,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,䡊,9485,亦聲,車耳反出也。从車从反，反亦聲。,府遠切,pjonX,幫三C元上,identical_fanqie,pjonX,,not_in_bs,*Cə.panʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,叛,726,聲,半也。从半反聲。,薄半切,banH,並一寒去,identical_fanqie,pjonX,,not_in_bs,*Cə.panʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,眅,2107,聲,多白眼也。从目反聲。《春秋傳》曰：“鄭游眅，字子明。”,暜班切,phaen,滂二刪平,rhyme+tone_only,pjonX,,not_in_bs,*Cə.panʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,飯,3205,聲,食也。从食反聲。,符萬切,bjonH,並三C元去,initial+rhyme+tone,pjonX,*bo[n]ʔ-s,mc_match,*Cə.panʔ,mc_match,V,"pre,ini,v,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,販,3961,聲,買賤賣貴者。从貝反聲。,方願切,pjonH,幫三C元去,identical_fanqie,pjonX,,not_in_bs,*Cə.panʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,昄,4220,聲,大也。从日反聲。,補綰切,paenX,幫二刪上,initial+rhyme+tone,pjonX,,not_in_bs,*Cə.panʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,版,4340,聲,判也。从片反聲。,布綰切,paenX,幫二刪上,identical_fanqie,pjonX,,not_in_bs,*Cə.panʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,汳,7030,聲,水。受陳畱浚儀陰溝，至蒙爲雝水，東入于泗。从水反聲。,皮變切,phjonH,滂三C元去,no_match_first_reading,pjonX,,not_in_bs,*Cə.panʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,瓪,8433,聲,敗也。从瓦反聲。,布綰切,paenX,幫二刪上,identical_fanqie,pjonX,,not_in_bs,*Cə.panʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
反,True,覆也。从又，厂反形。,府遠切,阪,9579,聲,坡者曰阪。一曰澤障。一曰山脅也。从𨸏反聲。,府遠切,pjonX,幫三C元上,identical_fanqie,pjonX,*pa[n]ʔ,mc_match,*Cə.panʔ,mc_match,R,pre;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,冣,4777,亦聲,積也。从冂从取，取亦聲。,才句切,,,none,tshjuX,,not_in_bs,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,娶,8086,亦聲,取婦也。从女从取，取亦聲。,七句切,tshjuH,清合三虞去,identical_fanqie,tshjuX,*[ts]ʰoʔ-s,mc_match,*tsʰoʔ,mc_match,R,suf;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,菆,680,聲,麻蒸也。从艸取聲。一曰蓐也。,側鳩切,tsrjuw,莊三尤平,identical_fanqie,tshjuX,,not_in_bs,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,趣,981,聲,疾也。从走取聲。,七句切,tshjuH,清合三虞去,identical_fanqie,tshjuX,*[tsʰ]oʔ-s,mc_match,*tsʰoʔ,mc_match,R,suf;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,齱,1288,聲,齵也。从齒取聲。,側鳩切,tsrjuw,莊三尤平,identical_fanqie,tshjuX,,not_in_bs,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,諏,1506,聲,聚謀也。从言取聲。,子于切,tsju,精合三虞平,identical_fanqie,tshjuX,*[ts]o,mc_match,*tsʰoʔ,mc_match,O,"ini,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,叢,1743,聲,聚也。从丵取聲。,徂紅切,dzuwng,從一東平,identical_fanqie,tshjuX,*dzˤoŋ,mc_match,*tsʰoʔ,mc_match,C,"ini,phar,coda,suf",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,棷,3792,聲,木薪也。从木取聲。,側鳩切,tsrjuw,莊三尤平,identical_fanqie,tshjuX,,not_in_bs,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,郰,4116,聲,魯下邑。孔子之鄉。从邑取聲。,側鳩切,tsrjuw,莊三尤平,identical_fanqie,tshjuX,,not_in_bs,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,黀,4514,聲,麻䕸也。从麻取聲。,側鳩切,tsrjuw,莊三尤平,identical_fanqie,tshjuX,,not_in_bs,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,聚,5214,聲,會也。从乑取聲。邑落云聚。,才句切,dzjuH,從合三虞去,identical_fanqie,tshjuX,*m-tsʰoʔ-s,mc_match,*tsʰoʔ,mc_match,R,"pre,suf",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,鯫,7597,聲,白魚也。从魚取聲。,士垢切,dzuwX,從一侯上,rhyme+tone_only,tshjuX,,not_in_bs,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,掫,8043,聲,夜戒守，有所擊。从手取聲。《春秋傳》曰：“賓將掫。”,子矦切,tsuw,精一侯平,initial+rhyme+tone,tshjuX,,multiple_readings,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,緅,8725,聲,帛青赤色也。从糸取聲。,子矦切,tsuw,精一侯平,initial+rhyme+tone,tshjuX,,not_in_bs,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
取,True,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,七庾切,陬,9580,聲,阪隅也。从𨸏取聲。,子侯切,tsuw,精一侯平,identical_fanqie,tshjuX,,not_in_bs,*tsʰoʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
受,True,相付也。从𠬪，舟省聲。,殖酉切,授,7873,亦聲,予也。从手从受，受亦聲。,殖酉切,dzyuwH,常三尤去,initial_only,dzyuwX,*[d]uʔ-s,mc_match,*[d]uʔ,mc_match,R,suf;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
受,True,相付也。从𠬪，舟省聲。,殖酉切,綬,8604,聲,韍維也。从糸受聲。,植酉切,dzyuwX,常三尤上,initial+rhyme+tone,dzyuwX,,not_in_bs,*[d]uʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
口,True,人所以言食也。象形。凡口之屬皆从口。,苦后切,𧥣,1633,亦聲,扣也。如求婦先𧥣叕之。从言从口，口亦聲。,苦后切,khuwX,溪一侯上,identical_fanqie,khuwX,,not_in_bs,*kʰˤ(r)oʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
口,True,人所以言食也。象形。凡口之屬皆从口。,苦后切,釦,9280,亦聲,金飾器口。从金从口，口亦聲。,苦厚切,khuwX,溪一侯上,initial+rhyme+tone,khuwX,,not_in_bs,*kʰˤ(r)oʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
口,True,人所以言食也。象形。凡口之屬皆从口。,苦后切,𨙫,4014,聲,京兆藍田鄉。从邑口聲。,苦后切,khuwX,溪一侯上,identical_fanqie,khuwX,,not_in_bs,*kʰˤ(r)oʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
口,True,人所以言食也。象形。凡口之屬皆从口。,苦后切,扣,8049,聲,牽馬也。从手口聲。,丘后切,khuwX,溪一侯上,initial+rhyme+tone,khuwX,,not_in_bs,*kʰˤ(r)oʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,拘,1451,亦聲,止也。从句从手，句亦聲。,舉朱切,kju,見合三C虞平,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,笱,1452,亦聲,曲竹捕魚笱也。从竹从句，句亦聲。,古厚切,kuwX,見一侯上,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,鉤,1453,亦聲,曲也。从金从句，句亦聲。,古矦切,kuw,見一侯平,initial+rhyme+tone,kuw,*[kˤ](r)o,mc_match,*[k]ˤ(r)o,mc_match,I,;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,雊,2281,亦聲,雄雌鳴也。雷始動，雉鳴而雊其頸。从隹从句，句亦聲。,古候切,kuwH,見一侯去,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,玽,174,聲,石之次玉者。从玉句聲。讀若苟。,古厚切,kuwX,見一侯上,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,苟,636,聲,艸也。从艸句聲。,古厚切,kuwX,見一侯上,identical_fanqie,kuw,*[k]ˤ(r)oʔ,mc_match,*[k]ˤ(r)o,mc_match,R,suf;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,跔,1397,聲,天寒足跔也。从足句聲。,其俱切,kju,見合三C虞平,initial+rhyme+tone,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,敂,2043,聲,擊也。从攴句聲。讀若扣。,苦候切,kuwX,見一侯上,no_match_first_reading,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,𦐛,2246,聲,羽曲也。从羽句聲。,其俱切,gju,羣合三C虞平,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,鴝,2454,聲,鴝鵒也。从鳥句聲。,其俱切,gju,羣合三C虞平,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,朐,2680,聲,脯挺也。从肉句聲。,其俱切,,,none,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,𠛎,2736,聲,鎌也。从刀句聲。,古矦切,kuw,見一侯平,initial+rhyme+tone,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,枸,3486,聲,木也。可爲醬。出蜀。从木句聲。,俱羽切,kjuX,見合三C虞上,initial+rhyme+tone,kuw,*[k](r)oʔ,mc_match,*[k]ˤ(r)o,mc_match,R,"phar,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,䅓,3872,聲,䅩䅓也。从𥝌从又，句聲。又者，从丑省。一曰木名。,俱羽切,kjuX,見合三C虞上,initial+rhyme+tone,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,邭,4137,聲,地名。从邑句聲。,其俱切,kjuH,見合三C虞去,initial_only,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,昫,4188,聲,日出溫也。从日句聲。北地有昫衍縣。,火于切,xjuH,曉合三C虞去,initial_only,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,痀,4711,聲,曲𦟝也。从疒句聲。,其俱切,kju,見合三C虞平,initial+rhyme+tone,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,佝,5113,聲,務也。从人句聲。,苦候切,xuwH,曉一侯去,rhyme+tone_only,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,耇,5355,聲,老人面凍黎若垢。从老省，句聲。,古厚切,kuwX,見一侯上,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,欨,5502,聲,吹也。一曰笑意。从欠句聲。,況于切,xju,曉合三C虞平,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,駒,6109,聲,馬二歲曰駒，三歲曰駣。从馬句聲。,舉朱切,kju,見合三C虞平,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,狗,6270,聲,孔子曰：“狗，叩也。叩气吠以守。”从犬句聲。,古厚切,kuwX,見一侯上,identical_fanqie,kuw,*Cə.kˤroʔ,mc_match,*[k]ˤ(r)o,mc_match,R,"pre,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,鼩,6370,聲,精鼩鼠也。从鼠句聲。,其俱切,gju,羣合三C虞平,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,竘,6653,聲,健也。一曰匠也。从立句聲。讀若齲。《逸周書》有竘匠。,丘羽切,khjuX,溪合三C虞上,initial+rhyme+tone,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,姁,8102,聲,嫗也。从女句聲。,況羽切,xjuX,曉合三C虞上,identical_fanqie,kuw,,not_in_bs,*[k]ˤ(r)o,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
句,True,曲也。从口丩聲。凡句之屬皆从句。,古矦切,絇,8654,聲,纑繩絇也。从糸句聲。讀若鳩。,其俱切,gju,羣合三C虞平,identical_fanqie,kuw,*[g](r)o,mc_match,*[k]ˤ(r)o,mc_match,O,"ini,phar;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
