sw_id,char,daxu_gloss,daxu_yisheng,xiaoxu_yisheng,xiaoxu_phonetic,xiaoxu_text,match_score,match_conf,agreement
9405,鍒,𨮯之耎也。从金从柔，柔亦聲。,True,,,斤斧穿也从金聲,0.47,low,not_aligned
9453,㪵,量物分半也。从斗从半，半亦聲。,True,,,朱反量物分半也从斗半亦聲脯漫反量物溢也从斗旁聲破,0.53,low,not_aligned
9485,䡊,車耳反出也。从車从反，反亦聲。,True,,,反車相出也从車失聲,0.6,low,not_aligned
9542,轚,車轄相擊也。从車从毄，毄亦聲。《周禮》曰：“舟輿擊互者。”,True,,,此重出礙也从車多聲溪祢反車轄相擊也从車毄毄亦聲周礼曰舟輿轚玄者也,0.6,low,not_aligned
9576,陸,高平地。从𨸏从坴，坴亦聲。,True,,,髙平地从□坴聲栗菊反籕文陸如此大陵曰阿从□可,0.32,low,not_aligned
9595,陷,高下也。一曰陊也。从𨸏从臽，臽亦聲。,True,,,蓋弓也一曰輻也从車聲,0.52,low,not_aligned
9605,𨻺,仄也。从𨸏从頃，頃亦聲。,True,,,仄也从□頃聲屈呈反落也从□多聲圖坐反閬也从,0.34,low,not_aligned
9615,阢,石山戴土也。从𨸏从兀，兀亦聲。,True,,,石山載土也从□几聲五忽反崖也从□兼聲讀若儼牛檢反,0.4,low,not_aligned
9649,隙,壁際孔也。从𨸏从𡭴，𡭴亦聲。,True,,,壁際孔也从□□聲起逆反壁㑹也从□祭聲子歳反重土,0.42,low,not_aligned
9667,𨽵,塞上𠅘守㷭火者。从𨺅从火，遂聲。,False,,,塞上亭守㷭火者从□从火从遂遂亦聲夕位反篆文省文四重,0.59,low,not_aligned
9669,絫,增也。从厽从糸。絫，十黍之重也。,False,,,从糸厽厽亦聲絫十黍之重也力委反累墼也从厽从土,0.48,low,not_aligned
9673,𤲑,㡒也。所以載盛米。从宁从甾。甾，缶也。,False,True,宁,㡒也所以載盛米从甾甾缶也从宁宁亦聲,0.8,high,xiaoxu_only
9720,字,乳也。从子在宀下，子亦聲。,True,,,乳也愛也从宀子子亦聲,0.67,medium,not_aligned
9724,季,少偁也。从子，从稚省，稚亦聲。,True,,,務反少偁从子稚省稚亦聲見翠反長也从子皿聲莫更反,0.5,low,not_aligned
9740,疏,通也。从𡿮从疋，疋亦聲。,True,True,疋,通也从㐬从疋疋亦聲,0.88,high,both
9742,䏔,食肉也。从丑从肉。,False,,,食肉也从肉五丑亦聲女就反進獻也从羊羊所,0.48,low,not_aligned
9743,羞,進獻也。从羊，羊，所進也；从丑，丑亦聲。,True,True,丑,進獻也从羊羊所進也从丑丑亦聲,1.0,high,both
9758,酒,就也，所以就人性之善惡。从水从酉，酉亦聲。一曰造也，吉凶所造也。 古者儀狄作酒醪，禹嘗之而美，遂䟽儀狄。杜康作秫酒。,True,,,時俗相承之變也倉去反黍酒也从酉也聲一曰甜也賈侍中㠯爲鬻清,0.19,low,not_aligned
9794,酣,酒樂也。从酉从甘，甘亦聲。,True,False,,酒樂也从酉甘聲,0.88,high,daxu_only
