sw_id,char,daxu_gloss,daxu_yisheng,xiaoxu_yisheng,xiaoxu_phonetic,xiaoxu_text,match_score,match_conf,agreement
4804,羀,曲梁寡婦之笱。魚所畱也。从网、畱，畱亦聲。,True,False,,曲梁寡婦之笱魚所畱也从网畱聲,0.97,high,daxu_only
4896,帟,在上曰帟。从巾亦聲。,True,,,在上曰幕按爾雅从巾莫聲門落反㡜裂也从巾□,0.44,low,not_aligned
4919,敝,帗也。一曰敗衣。从攴从㡀，㡀亦聲。,True,,,帗也一曰婦人脅巾也从巾戔聲讀若椒榝之榝帔也,0.36,low,not_aligned
4944,仲,中也。从人从中，中亦聲。,True,,,見也从人聲,0.62,low,not_aligned
5030,傾,仄也。从人从頃，頃亦聲。,True,,,行也从人从匕匕亦聲,0.62,low,not_aligned
5141,係,絜束也。从人从系，系亦聲。,True,,,敎行也从人从匕匕亦聲,0.56,low,not_aligned
5157,像,象也。从人从象，象亦聲。讀若養。,True,,,聲也从人悉聲讀若屑,0.6,low,not_aligned
5164,僊,長生僊去。从人从䙴，䙴亦聲。,True,,,也敎行也从人从匕匕亦聲,0.4,low,not_aligned
5179,儈,合市也。从人、會，會亦聲。,True,,,反見也从人聲,0.57,low,not_aligned
5180,低,下也。从人、氐，氐亦聲。,True,,,見也从人聲,0.67,medium,not_aligned
5181,債,債負也。从人、責，責亦聲。,True,,,反見也从人聲,0.57,low,not_aligned
5182,價,物直也。从人、賈，賈亦聲。,True,,,反見也从人聲,0.57,low,not_aligned
5184,僦,賃也。从人、就，就亦聲。,True,,,見也从人聲,0.67,medium,not_aligned
5192,化,教行也。从𠤎从人，𠤎亦聲。,True,,,逺行也从人狂聲,0.62,low,not_aligned
5203,從,隨行也。从辵、从，从亦聲。,True,,,敎行也从人从匕匕亦聲,0.59,low,not_aligned
5211,屔,反頂受水丘。从丘，泥省聲。,False,,,反項受水丘也从丘从泥省泥亦聲,0.78,medium,not_aligned
5302,衵,日日所常衣。从衣从日，日亦聲。,True,False,,日日所常衣从衣从日亦日聲,0.96,high,daxu_only
5317,𧝉,紩衣也。从衣、黹，黹亦聲。,True,True,黹,反紩衣从衣黹黹亦聲,0.88,high,both
5360,孝,善事父母者。从老省，从子。子承老也。,False,True,省,善事父母者从老省从子子承老老省亦聲,0.87,high,xiaoxu_only
5460,覽,觀也。从見、監，監亦聲。,True,True,監,觀也从見監亦聲,0.92,high,both
5522,歊,歊歊，气出皃。从欠、高，高亦聲。,True,,,反歊气出皃从欠高高亦聲欣消反有所吹起从欠炎聲讀,0.56,low,not_aligned
5535,𣣸,言意也。从欠从𠧴，𠧴亦聲。讀若酉。,True,,,反言意从欠从亦聲讀若酉夷酒反欲飲从欠渇聲,0.58,low,not_aligned
5557,欥,詮詞也。从欠从曰，曰亦聲。《詩》曰：“欥求厥寕。”,True,True,曰,宻反詮詞从欠曰曰亦聲詩曰欥求厥寜,0.8,high,both
5622,𩑦,内頭水中也。从頁、𠬸，𠬸亦聲。,True,True,頁,内頭水中从頁亦聲,0.82,high,both
5644,頛,頭不正也。从頁从耒。耒，頭傾也。讀又若《春秋》陳夏齧之齧。,False,,,敦反秃也从頁气聲誇訥反頭不正从頁耒耒頭傾亦聲讀又若春秋陳夏齧之齧魯内,0.69,medium,not_aligned
5668,靦,面見也。从面、見，見亦聲。《詩》曰：“有靦面目。”,True,,,靣見也从靣見亦聲詩曰有□靣目,0.67,medium,not_aligned
5680,䫇,頰須也。从須从冄，冄亦聲。,True,True,冄,頰須也从冄冄亦聲,0.88,high,both
5687,彰,文彰也。从彡从章，章亦聲。,True,,,文章也从彡章聲,0.75,medium,not_aligned
5742,㖃,厚怒聲。从口、后，后亦聲。,True,,,,0,none,not_aligned
5782,匌,帀也。从勹从合，合亦聲。,True,,,墳也从勹豕聲,0.57,low,not_aligned
5808,魑,鬼屬。从鬼从离，离亦聲。,True,,,兒鬼从鬼从支韓詩傳曰鄭交甫逢二女鬾服臣寄反,0.28,low,not_aligned
5886,屵,岸高也。从山、厂，厂亦聲。凡屵之屬皆从屵。,True,True,厂,岸髙也从山厂厂亦聲凡屵之屬皆从屵,0.93,high,both
6148,馼,馬赤鬣縞身，目若黃金，名曰𩢌。吉皇之乘，周文王時，犬戎獻之。从馬从文，文亦聲。《春秋傳》曰：“𩢌馬百駟。”畫馬也。西伯獻紂，以全其身。,True,True,文,馬赤鬛縞身囙若黄金名曰吉皇之乗周文王時犬戎獻之从馬文文亦聲春秋傳曰馬百駟畫馬也西伯獻紂以全其身,0.88,high,both
6283,𤟟,竇中犬聲。从犬从音，音亦聲。,True,True,音,竇中犬聲从犬从音音亦聲,1.0,high,both
6303,𤞛,妄彊犬也。从犬从壯，壯亦聲。,True,,,者犬也故从犬从自,0.56,low,not_aligned
6448,煣,屈申木也。从火、柔，柔亦聲。,True,True,柔,屈申木也从火柔柔亦聲,1.0,high,both
6449,燓,燒田也。从火、棥，棥亦聲。,True,True,棥,燒田也从火棥棥亦聲,1.0,high,both
6546,悤,多遽悤悤也。从心、囪，囪亦聲。,True,,,多遽怱怱也从心囱囱亦聲麤中反文二重二火華也从三,0.38,low,not_aligned
6562,赩,大赤也。从赤、色，色亦聲。,True,,,赤土也从赤者聲,0.67,medium,not_aligned
6596,尳,厀病也。从尣从骨，骨亦聲。,True,,,反蹇也从尣皮聲,0.5,low,not_aligned
6613,執,捕罪人也。从丮从㚔，㚔亦聲。,True,True,㚔,捕罪人也从丮㚔㚔亦聲,0.95,high,both
6621,𠅣,直項莽𠅣皃。从亢从夋。夋，倨也。亢亦聲。,True,,,作直項莽皃从亢从夋夋倨也亢亦聲解黨反文二重一進趨也从大,0.65,medium,not_aligned
6629,𥉁,舉目驚𥉁然也。从夰从䀠，䀠亦聲。,True,,,舉目驚然也从䀠从夰,0.67,medium,not_aligned
6630,奡,嫚也。从𦣻从夰，夰亦聲。《虞書》曰：“若丹朱奡。”讀若傲。《論語》：“奡湯舟。”,True,True,夰,嫚也从□从夰夰亦聲虞書曰者丹朱奡讀若傲論語奡盪舟,0.87,high,both
6631,昦,春爲昦天，元气昦昦。从日、夰，夰亦聲。,True,True,夰,春爲昦天元气昦昦从日夰夰亦聲,1.0,high,both
6634,奕,大也。从亣亦聲。《詩》曰：“奕奕梁山。”,True,True,大,大也从大亦聲詩曰奕奕梁山,0.91,high,both
6635,奘,駔大也。从亣从壯，壯亦聲。,True,,,駔大也从大壯聲,0.75,medium,not_aligned
6649,竦,敬也。从立从束。束，自申束也。,False,True,也,敬也从立束束自申束也亦聲,0.91,high,xiaoxu_only
6671,息,喘也。从心从自，自亦聲。,True,,,謹也从心聲,0.62,low,not_aligned
6709,憼,敬也。从心从敬，敬亦聲。,True,,,敬也从心難聲,0.71,medium,not_aligned
6719,懬,闊也。一曰廣也，大也。一曰寬也。从心从廣，廣亦聲。,True,,,闊也一曰廣也大也从心廣廣亦聲一曰寛也,0.74,medium,not_aligned
6780,𢛆,急也。从心从弦，弦亦聲。河南密縣有𢛆亭。,True,,,恨也从心巠聲其頸反急也从心弦聲河南宻縣有亭形先反悔恨也从,0.51,low,not_aligned
6796,懝,騃也。从心从疑，疑亦聲。一曰惶也。,True,,,大也从心廣廣亦聲一曰寛也,0.61,low,not_aligned
6810,忘,不識也。从心从亡，亡亦聲。,True,,,反謹也从心聲,0.53,low,not_aligned
6861,愾,大息也。从心从氣，氣亦聲。《詩》曰：“愾我寤歎。”,True,,,望恨也从心長聲田向反太息也从心氣氣亦聲詩曰愾我寤歎許意反,0.62,low,not_aligned
6902,患,憂也。从心上貫吅，吅亦聲。,True,True,吅,憂也从心上貫吅吅亦聲,1.0,high,both
