group,series,char,ids,guangyun_all_readings,code_core,note,src
layer2_later,農,𩅽,⿱雨農,泥一冬平 奴冬切 nowng,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,農,𩟊,⿰飠農,泥一冬平 奴冬切 nowng | 孃二江平 女江切 nraewng,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,農,𩼅,⿰魚農,日三鍾去 而用切 nyowngH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,農,𪒬,⿰黑農,孃三鍾平 女容切 nrjowng,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,䑦,⿰舟句,見一侯平 古侯切 kuw,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,䝭,⿰貝句,見一侯去 古候切 kuwH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,䞤,⿺走句,羣合三C虞平 其俱切 gju | 滂三C虞上 芳武切 phjuX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,䧁,⿰阝句,羣合三C虞平 其俱切 gju | 曉合三C虞上 況羽切 xjuX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,呴,⿰口句,曉一侯上 呼后切 xuwX | 曉合三C虞去 香句切 xjuH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,夠,⿰多句,溪一侯平 恪侯切 khuw | 見一侯平 古侯切 kuw,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,岣,⿰山句,見合三C虞平 舉朱切 kju | 見一侯上 古厚切 kuwX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,怐,⿰忄句,見合三C虞去 九遇切 kjuH | 溪一侯去 苦候切 khuwH | 見一侯去 古候切 kuwH | 曉一侯去 呼漏切 xuwH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,眗,⿰目句,見合三C虞平 舉朱切 kju,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,胊,⿰月句,羣合三C虞平 其俱切 gju,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,豞,⿰豕句,曉一侯去 呼漏切 xuwH | 曉二江入 許角切 xaewk,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,豿,⿰豸句,見一侯上 古厚切 kuwX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,鮈,⿰魚句,見合三C虞平 舉朱切 kju,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,齁,⿰鼻句,曉一侯平 呼侯切 xuw,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
