group,series,char,ids,guangyun_all_readings,code_core,note,src
layer2_later,票,鰾,⿰魚票,並三A宵上 符少切 bjiewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,𢹰,⿰扌𤐫,並三A宵上 符少切 bjiewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,𨄏,⿰𧾷票,滂三A宵平 撫招切 phjiew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,票,𩮳,⿱髟票,並三A宵上 符少切 bjiewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叕,䄌,⿰礻叕,知合三祭去 陟衛切 trjwejH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叕,䞵,⿺走叕,見合三B仙入 紀劣切 kjwet,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叕,䟾,⿰𧾷叕,知合三仙入 陟劣切 trjwet,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叕,蝃,⿰虫叕,端開四齊去 都計切 tejH | 章合三仙入 職悅切 tsywet,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叕,裰,⿰衤叕,端合一寒入 丁括切 twat,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叕,醊,⿰酉叕,知合三祭去 陟衛切 trjwejH | 知合三仙入 陟劣切 trjwet,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叕,錣,⿰金叕,知合三祭去 陟衛切 trjwejH | 知合二刪入 丁刮切 trwaet,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叕,𧣸,⿰角叕,見合三B仙入 紀劣切 kjwet,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,䑶,⿰舟青,清開四先去 倉甸切 tshenH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,䝼,⿰貝青,從開三清平 疾盈切 dzjeng | 從開三清去 疾政切 dzjengH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,圊,⿴囗青,清開三清平 七情切 tshjeng,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,掅,⿰扌青,清開四青去 千定切 tshengH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,棈,⿰木青,清開四先去 倉甸切 tshenH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,睛,⿰目青,精開三清平 子盈切 tsjeng | 清開三清上 七靜切 tshjengX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,箐,⿱竹青,精開三清平 子盈切 tsjeng,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,聙,⿰耳青,精開三清平 子盈切 tsjeng,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,輤,⿰車青,清開四先去 倉甸切 tshenH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,鯖,⿰魚青,章開三清平 諸盈切 tsyeng | 清開四青平 倉經切 tsheng,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,鼱,⿰鼠青,精開三清平 子盈切 tsjeng,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,青,𧚫,⿰衤青,清開四先去 倉甸切 tshenH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
